Model_Utilization	Sim_Utilization
0.803016	0.769628
0.833078	0.804547
0.836457	0.807802
0.836884	0.808174
0.836946	0.808205
0.836939	0.808206
0.836947	0.808213
0.836947	0.808223
0.859913	0.835469
0.864039	0.839863
0.864657	0.840555
0.864766	0.840674
0.864767	0.840679
0.864752	0.840683
0.864768	0.840688
0.866598	0.842316
0.867237	0.843089
0.867337	0.843231
0.867352	0.843253
0.867353	0.843272
0.867502	0.843339
0.867617	0.843371
0.867612	0.843412
0.867601	0.843423
0.867627	0.843431
0.867615	0.843454
0.867637	0.843454
0.883444	0.862082
0.888342	0.867699
0.889196	0.868854
0.889376	0.869095
0.889349	0.869108
0.889375	0.869144
0.891417	0.870950
0.892307	0.872195
0.892482	0.872314
0.892468	0.872475
0.892493	0.872478
0.892836	0.872500
0.892675	0.872576
0.893285	0.872714
0.892862	0.872725
0.892847	0.872742
0.892834	0.872802
0.894666	0.873800
0.894196	0.873990
0.894373	0.874160
0.894359	0.874259
0.894708	0.874269
0.894693	0.874311
0.894817	0.874336
0.894706	0.874342
0.894569	0.874361
0.894721	0.874558
0.903665	0.884507
0.909322	0.891155
0.910451	0.892781
0.910688	0.892835
0.910715	0.893102
0.910679	0.893113
0.912909	0.895017
0.916838	0.896564
0.914088	0.896735
0.914717	0.896792
0.914333	0.896824
0.914703	0.896835
0.914324	0.897039
0.915107	0.897144
0.914566	0.897144
0.914774	0.897282
0.916599	0.897871
0.916736	0.897977
0.916397	0.898170
0.916447	0.898450
0.917790	0.898643
0.916841	0.898644
0.916309	0.898807
0.916897	0.898910
0.917848	0.898939
0.916523	0.898941
0.916768	0.899064
0.917715	0.899496
0.917960	0.899610
0.917586	0.899660
0.920646	0.902715
0.927005	0.910076
0.928714	0.911864
0.928421	0.911938
0.928721	0.912227
0.931058	0.914134
0.932673	0.914342
0.934989	0.914721
0.935569	0.915128
0.932626	0.915246
0.933161	0.915773
0.932522	0.915946
0.932782	0.915987
0.933045	0.916083
0.934984	0.916159
0.933531	0.916219
0.935099	0.916567
0.935513	0.916701
0.934524	0.916884
0.934922	0.916963
0.936439	0.917096
0.935964	0.917113
0.936222	0.917150
0.935083	0.917438
0.935345	0.917509
0.934970	0.917744
0.936218	0.918053
0.941468	0.924186
0.943149	0.924994
0.948188	0.925818
0.943393	0.925881
0.943116	0.925950
0.948013	0.926795
0.945468	0.927167
0.949468	0.927675
0.949292	0.927791
0.947388	0.927901
0.945855	0.927966
0.949610	0.928512
0.947527	0.928952
0.947789	0.928962
0.947467	0.929421
0.949633	0.929446
0.949379	0.929470
0.948412	0.929568
0.949607	0.929682
0.950508	0.929949
0.954507	0.930120
0.949811	0.930550
0.957626	0.932017
0.952774	0.933823
0.953645	0.933995
0.954473	0.934663
0.958569	0.934767
0.954467	0.935166
0.958775	0.935902
0.961628	0.936242
0.959600	0.936312
0.958271	0.936618
0.958033	0.936689
0.957202	0.936983
0.961970	0.937079
0.959928	0.937116
0.964070	0.937747
0.958622	0.937810
0.959455	0.937869
0.959223	0.938020
0.960274	0.938027
0.961702	0.939402
0.963320	0.939460
0.962391	0.939727
0.960957	0.939760
0.965997	0.939851
0.964066	0.940101
0.965519	0.940397
0.962368	0.940568
0.967302	0.940653
0.967870	0.941286
0.965969	0.941425
0.967920	0.941970
0.964989	0.942075
0.966430	0.942218
0.965730	0.942261
0.967902	0.942682
0.966105	0.942824
0.966828	0.942906
0.969337	0.943363
0.968754	0.943493
0.968405	0.943530
0.970188	0.943941
0.969275	0.944306
