Model_Utilization	Sim_Utilization
0.686026	0.648978
0.721795	0.690215
0.725123	0.693214
0.725504	0.693457
0.725500	0.693466
0.725465	0.693474
0.725504	0.693476
0.725504	0.693477
0.755407	0.728341
0.759348	0.732485
0.759813	0.733001
0.759877	0.733055
0.759869	0.733058
0.759876	0.733069
0.759877	0.733082
0.762208	0.735058
0.762686	0.735616
0.762750	0.735655
0.762743	0.735685
0.762751	0.735685
0.762948	0.735773
0.763013	0.735848
0.763035	0.735871
0.763006	0.735882
0.763030	0.735887
0.763013	0.735888
0.763036	0.735920
0.786730	0.763100
0.791329	0.768500
0.791951	0.769394
0.792037	0.769552
0.792048	0.769558
0.792050	0.769560
0.794694	0.771992
0.795336	0.772976
0.795438	0.773152
0.795425	0.773157
0.795438	0.773186
0.795688	0.773359
0.795818	0.773538
0.795778	0.773552
0.795789	0.773575
0.795814	0.773599
0.797113	0.774161
0.797769	0.775161
0.797873	0.775365
0.797862	0.775376
0.798129	0.775580
0.798402	0.775694
0.798221	0.775711
0.798324	0.775739
0.798250	0.775756
0.798225	0.775760
0.798409	0.775858
0.815633	0.794320
0.820926	0.801028
0.821742	0.802360
0.821870	0.802657
0.821889	0.802688
0.821889	0.802697
0.824825	0.805466
0.825670	0.806959
0.825804	0.807289
0.825822	0.807313
0.826133	0.807627
0.826269	0.807847
0.826303	0.807849
0.826265	0.807893
0.827653	0.808347
0.828519	0.809921
0.829660	0.810057
0.828660	0.810167
0.828656	0.810227
0.829087	0.810416
0.828991	0.810562
0.829291	0.810623
0.829232	0.810641
0.829113	0.810814
0.830948	0.810902
0.830539	0.811616
0.830664	0.811882
0.831182	0.812000
0.831062	0.812081
0.831004	0.812190
0.841998	0.821823
0.848004	0.829752
0.849051	0.831697
0.849262	0.832140
0.849236	0.832153
0.852450	0.835138
0.853540	0.837236
0.853730	0.837492
0.854231	0.837700
0.853730	0.837705
0.854126	0.838047
0.854291	0.838294
0.855696	0.838694
0.856811	0.840788
0.858016	0.840797
0.857571	0.841015
0.856980	0.841042
0.857445	0.841204
0.859356	0.841394
0.857385	0.841410
0.859603	0.841811
0.860650	0.842238
0.859183	0.842495
0.859123	0.842711
0.859593	0.842894
0.860608	0.843202
0.865715	0.845612
0.872433	0.854606
0.873744	0.857091
0.873982	0.857333
0.873991	0.857607
0.877421	0.860704
0.878778	0.863226
0.878991	0.863453
0.879501	0.863496
0.879453	0.863875
0.881064	0.864602
0.882514	0.864720
0.885626	0.865223
0.886690	0.865692
0.882454	0.866363
0.883630	0.866604
0.884744	0.866731
0.882924	0.866775
0.882410	0.866807
0.885225	0.866957
0.885825	0.867045
0.884818	0.868105
0.894083	0.875352
0.895658	0.878137
0.895905	0.878280
0.904807	0.879826
0.899555	0.881688
0.904826	0.882045
0.901120	0.883385
0.901635	0.883760
0.901115	0.884077
0.906817	0.884722
0.904559	0.884895
0.903467	0.885268
0.906538	0.886138
0.905969	0.886309
0.904800	0.886647
0.912783	0.891766
0.914454	0.893392
0.914502	0.894193
0.921975	0.894297
0.919983	0.894614
0.919515	0.896767
0.918526	0.897468
0.923803	0.898790
0.919946	0.898816
0.922761	0.899438
0.922269	0.899763
0.942031	0.902740
0.931882	0.903243
0.928204	0.903508
0.934943	0.904214
0.929657	0.904787
0.934064	0.907240
0.933667	0.907680
0.940062	0.907686
0.943858	0.907714
0.936247	0.907848
0.947488	0.909409
0.940078	0.909905
0.943594	0.909929
0.939749	0.910317
0.947846	0.911691
0.943918	0.912327
0.946589	0.912385
