n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|1|1|1|2|2|2|2|2|2,1,15,9.991423,0.000097,15,9.991411,0.000094
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|1|2|2|2|2|2|2|2,1,15,9.983266,0.000079,15,9.983262,0.000120
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|1|1|1|1|2|2|2|2|3,1,15,9.994762,0.000085,15,9.994752,0.000057
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|1|1|2|2|2|2|2|3,1,15,9.987396,0.000077,15,9.987329,0.000072
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|2|2|2|2|2|2|3,1,15,9.959400,0.000177,15,9.959363,0.000210
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|1|1|1|1|1|2|2|3|3,1,15,9.993722,0.000084,15,9.993746,0.000092
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|1|1|1|2|2|2|3|3,1,15,9.987925,0.000099,15,9.988003,0.000097
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|1|2|2|2|2|3|3,1,15,9.960709,0.000204,15,9.960659,0.000130
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|1|1|1|1|1|1|3|3|3,1,15,9.988475,0.000076,15,9.988482,0.000121
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|1|1|1|1|2|3|3|3,1,15,9.985860,0.000099,15,9.985856,0.000092
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|2|2|3|3|3,1,15,9.960354,0.000158,15,9.960332,0.000194
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|2|2|2|3|3|3,1,15,9.903305,0.000118,15,9.903265,0.000237
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|3|3|3|3,1,15,9.957841,0.000125,15,9.957922,0.000209
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|2|3|3|3|3,1,15,9.902551,0.000203,15,9.902562,0.000283
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|3|3|3|3|3,1,15,9.806889,0.000409,15,9.806851,0.000425
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|1|1|1|1|1|2|2|2|4,1,15,9.992602,0.000119,15,9.992641,0.000072
