n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|1|1|1|1|1|1|1|1|1|1|1|1|1|2,1,15,13.980405,0.001082,15,13.980115,0.001213
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|1|1|1|1|1|1|1|1|1|1|1|2|2,1,15,14.065860,0.001129,15,14.066544,0.001200
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|1|1|1|1|1|1|2|2|2,1,15,14.110265,0.001284,15,14.109322,0.001277
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|1|1|1|1|1|2|2|2|2,1,15,14.119357,0.001264,15,14.119235,0.001891
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|1|1|1|1|2|2|2|2|2,1,15,14.097752,0.001558,15,14.097792,0.000955
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|1|1|2|2|2|2|2|2,1,15,14.043426,0.001521,15,14.043848,0.001284
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|2|2|2|2|2|2|2,1,15,13.951641,0.001179,15,13.951947,0.001031
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|1|1|1|1|1|1|1|1|1|1|1|1|3,1,15,14.056151,0.001667,15,14.056232,0.001208
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|1|1|1|1|1|1|1|2|3,1,15,14.129612,0.001090,15,14.129483,0.001777
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|1|1|1|1|1|1|2|2|3,1,15,14.159333,0.001491,15,14.158897,0.002062
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|1|1|1|1|1|2|2|2|3,1,15,14.150212,0.001589,15,14.150676,0.001425
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|1|1|1|2|2|2|2|3,1,15,14.106038,0.001612,15,14.105870,0.001583
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|1|2|2|2|2|2|3,1,15,14.021504,0.001479,15,14.021503,0.001039
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|2|2|2|2|2|2|3,1,15,13.887250,0.001294,15,13.887278,0.001094
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|1|1|1|1|1|1|1|3|3,1,15,14.140134,0.001519,15,14.140327,0.001932
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|1|1|1|1|1|1|2|3|3,1,15,14.152320,0.002046,15,14.152472,0.001876
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|1|1|1|1|2|2|3|3,1,15,14.121648,0.000844,15,14.121090,0.001427
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|1|1|2|2|2|3|3,1,15,14.044547,0.001421,15,14.044815,0.001430
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1|2|2|2|2|3|3,1,15,13.914911,0.001532,15,13.915325,0.001951
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|1|1|1|1|1|3|3|3,1,15,14.101258,0.001502,15,14.101760,0.001507
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|1|1|1|2|3|3|3,1,15,14.038246,0.001040,15,14.038817,0.001081
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1|1|2|2|3|3|3,1,15,13.916428,0.001247,15,13.917288,0.001360
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|2|2|2|3|3|3,1,15,13.727101,0.000825,15,13.726747,0.001454
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1|1|1|3|3|3|3,1,15,13.902189,0.000978,15,13.901660,0.001353
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|1|2|3|3|3|3,1,15,13.720709,0.000958,15,13.720929,0.001528
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|3|3|3|3|3,1,15,13.448327,0.001091,15,13.448603,0.000576
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|1|1|1|1|1|1|1|1|4,1,15,14.091567,0.000981,15,14.092224,0.001403
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|1|1|1|1|1|1|1|2|4,1,15,14.153360,0.001034,15,14.152550,0.002007
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|1|1|1|1|1|1|2|2|4,1,15,14.164585,0.001178,15,14.164585,0.002307
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|1|1|1|1|2|2|2|4,1,15,14.132905,0.001716,15,14.133629,0.002072
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|1|1|2|2|2|2|4,1,15,14.056357,0.001236,15,14.057111,0.001337
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1|2|2|2|2|2|4,1,15,13.927814,0.001089,15,13.927552,0.001709
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|1|1|1|1|1|1|1|3|4,1,15,14.143514,0.001680,15,14.143667,0.001414
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|1|1|1|1|1|2|3|4,1,15,14.133589,0.001686,15,14.134234,0.001847
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|1|1|1|2|2|3|4,1,15,14.070544,0.001186,15,14.070254,0.000895
