n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
15,10,15,0,0|1|1|1|2|2|2|2|2|2,,1,15,9.951122,0.000282,15,9.950817,0.000122
15,10,15,0,0|0|1|2|2|2|2|2|2|2,,1,15,9.892368,0.000326,15,9.892205,0.000240
15,10,15,0,0|1|1|1|1|2|2|2|2|3,,1,15,9.959085,0.000251,15,9.959075,0.000199
15,10,15,0,0|0|1|1|2|2|2|2|2|3,,1,15,9.904532,0.000170,15,9.904389,0.000285
15,10,15,0,0|0|0|2|2|2|2|2|2|3,,1,15,9.780280,0.000449,15,9.780445,0.000357
15,10,15,0,0|1|1|1|1|1|2|2|3|3,,1,15,9.952598,0.000232,15,9.952561,0.000229
15,10,15,0,0|0|1|1|1|2|2|2|3|3,,1,15,9.904801,0.000231,15,9.904682,0.000319
15,10,15,0,0|0|0|1|2|2|2|2|3|3,,1,15,9.784958,0.000344,15,9.784967,0.000410
15,10,15,0,0|1|1|1|1|1|1|3|3|3,,1,15,9.931878,0.000175,15,9.931825,0.000201
15,10,15,0,0|0|1|1|1|1|2|3|3|3,,1,15,9.894238,0.000235,15,9.894123,0.000247
15,10,15,0,0|0|0|1|1|2|2|3|3|3,,1,15,9.781559,0.000481,15,9.781473,0.000306
15,10,15,0,0|0|0|0|2|2|2|3|3|3,,1,15,9.595833,0.000537,15,9.595658,0.000590
15,10,15,0,0|0|0|1|1|1|3|3|3|3,,1,15,9.769908,0.000391,15,9.769811,0.000496
15,10,15,0,0|0|0|0|1|2|3|3|3|3,,1,15,9.592064,0.000563,15,9.591607,0.000533
15,10,15,0,0|0|0|0|0|3|3|3|3|3,,1,15,9.338145,0.000627,15,9.337856,0.000671
15,10,15,0,0|1|1|1|1|1|2|2|2|4,,1,15,9.947751,0.000206,15,9.947763,0.000263
15,10,15,0,0|0|1|1|1|2|2|2|2|4,,1,15,9.900069,0.000223,15,9.900019,0.000282
15,10,15,0,0|0|0|1|2|2|2|2|2|4,,1,15,9.780498,0.000447,15,9.780529,0.000426
15,10,15,0,0|1|1|1|1|1|1|2|3|4,,1,15,9.931438,0.000344,15,9.931445,0.000250
15,10,15,0,0|0|1|1|1|1|2|2|3|4,,1,15,9.893718,0.000357,15,9.893608,0.000236
15,10,15,0,0|0|0|1|1|2|2|2|3|4,,1,15,9.781175,0.000361,15,9.781174,0.000435
15,10,15,0,0|0|0|0|2|2|2|2|3|4,,1,15,9.595295,0.000512,15,9.595259,0.000574
15,10,15,0,0|0|1|1|1|1|1|3|3|4,,1,15,9.873703,0.000416,15,9.873662,0.000299
15,10,15,0,0|0|0|1|1|1|2|3|3|4,,1,15,9.771407,0.000362,15,9.771527,0.000394
15,10,15,0,0|0|0|0|1|2|2|3|3|4,,1,15,9.593141,0.000453,15,9.593189,0.000592
15,10,15,0,0|0|0|0|1|1|3|3|3|4,,1,15,9.583484,0.000418,15,9.583593,0.000438
15,10,15,0,0|0|0|0|0|2|3|3|3|4,,1,15,9.339525,0.000497,15,9.339370,0.000553
15,10,15,0,0|1|1|1|1|1|1|1|4|4,,1,15,9.894939,0.000251,15,9.894899,0.000266
15,10,15,0,0|0|1|1|1|1|1|2|4|4,,1,15,9.871191,0.000329,15,9.871147,0.000312
15,10,15,0,0|0|0|1|1|1|2|2|4|4,,1,15,9.769271,0.000446,15,9.769128,0.000472
15,10,15,0,0|0|0|0|1|2|2|2|4|4,,1,15,9.591082,0.000447,15,9.590982,0.000695
15,10,15,0,0|0|0|1|1|1|1|3|4|4,,1,15,9.750655,0.000431,15,9.750747,0.000394
15,10,15,0,0|0|0|0|1|1|2|3|4|4,,1,15,9.582853,0.000560,15,9.583140,0.000659
15,10,15,0,0|0|0|0|0|2|2|3|4|4,,1,15,9.339281,0.000661,15,9.339279,0.000576
15,10,15,0,0|0|0|0|0|1|3|3|4|4,,1,15,9.332192,0.000702,15,9.332106,0.000720
15,10,15,0,0|0|0|0|1|1|1|4|4|4,,1,15,9.564239,0.000517,15,9.564372,0.000654
15,10,15,0,0|0|0|0|0|1|2|4|4|4,,1,15,9.331872,0.000722,15,9.331359,0.000577
15,10,15,0,0|0|0|0|0|0|3|4|4|4,,1,15,9.019543,0.000930,15,9.019403,0.000951
15,10,15,0,0|1|1|1|1|1|1|2|2|5,,1,15,9.924140,0.000317,15,9.924082,0.000339
15,10,15,0,0|0|1|1|1|1|2|2|2|5,,1,15,9.886490,0.000262,15,9.886266,0.000360
15,10,15,0,0|0|0|1|1|2|2|2|2|5,,1,15,9.774340,0.000341,15,9.774369,0.000453
15,10,15,0,0|0|0|0|2|2|2|2|2|5,,1,15,9.589388,0.000460,15,9.589495,0.000546
15,10,15,0,0|1|1|1|1|1|1|1|3|5,,1,15,9.894366,0.000377,15,9.894520,0.000284
15,10,15,0,0|0|1|1|1|1|1|2|3|5,,1,15,9.870815,0.000259,15,9.870577,0.000241
15,10,15,0,0|0|0|1|1|1|2|2|3|5,,1,15,9.768700,0.000328,15,9.768816,0.000554
