n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
15,15,15,0,0|1|1|1|1|1|1|1|1|1|1|1|1|1|2,,1,15,13.540897,0.001124,15,13.541295,0.001079
15,15,15,0,0|0|1|1|1|1|1|1|1|1|1|1|1|2|2,,1,15,13.641175,0.000957,15,13.641080,0.001249
15,15,15,0,0|0|0|1|1|1|1|1|1|1|1|1|2|2|2,,1,15,13.675245,0.001741,15,13.675470,0.001223
15,15,15,0,0|0|0|0|1|1|1|1|1|1|1|2|2|2|2,,1,15,13.649133,0.001386,15,13.648744,0.001903
15,15,15,0,0|0|0|0|0|1|1|1|1|1|2|2|2|2|2,,1,15,13.563288,0.001473,15,13.563130,0.001332
15,15,15,0,0|0|0|0|0|0|1|1|1|2|2|2|2|2|2,,1,15,13.414340,0.001054,15,13.414572,0.001262
15,15,15,0,0|0|0|0|0|0|0|1|2|2|2|2|2|2|2,,1,15,13.197697,0.001071,15,13.197080,0.001315
15,15,15,0,0|0|1|1|1|1|1|1|1|1|1|1|1|1|3,,1,15,13.615999,0.001408,15,13.615409,0.001923
15,15,15,0,0|0|0|1|1|1|1|1|1|1|1|1|1|2|3,,1,15,13.686019,0.001583,15,13.685524,0.001541
15,15,15,0,0|0|0|0|1|1|1|1|1|1|1|1|2|2|3,,1,15,13.684467,0.001432,15,13.685329,0.001549
15,15,15,0,0|0|0|0|0|1|1|1|1|1|1|2|2|2|3,,1,15,13.617772,0.001012,15,13.617676,0.001138
15,15,15,0,0|0|0|0|0|0|1|1|1|1|2|2|2|2|3,,1,15,13.482277,0.001612,15,13.481412,0.001185
15,15,15,0,0|0|0|0|0|0|0|1|1|2|2|2|2|2|3,,1,15,13.271003,0.000725,15,13.270646,0.001668
15,15,15,0,0|0|0|0|0|0|0|0|2|2|2|2|2|2|3,,1,15,12.978905,0.001188,15,12.977795,0.000822
15,15,15,0,0|0|0|0|1|1|1|1|1|1|1|1|1|3|3,,1,15,13.648535,0.001255,15,13.648629,0.000942
15,15,15,0,0|0|0|0|0|1|1|1|1|1|1|1|2|3|3,,1,15,13.608702,0.001139,15,13.608486,0.001303
15,15,15,0,0|0|0|0|0|0|1|1|1|1|1|2|2|3|3,,1,15,13.491246,0.001099,15,13.491902,0.000824
15,15,15,0,0|0|0|0|0|0|0|1|1|1|2|2|2|3|3,,1,15,13.292237,0.001182,15,13.291897,0.000864
15,15,15,0,0|0|0|0|0|0|0|0|1|2|2|2|2|3|3,,1,15,13.005437,0.001479,15,13.005917,0.000916
15,15,15,0,0|0|0|0|0|0|1|1|1|1|1|1|3|3|3,,1,15,13.452106,0.001655,15,13.450915,0.001085
15,15,15,0,0|0|0|0|0|0|0|1|1|1|1|2|3|3|3,,1,15,13.273557,0.001181,15,13.273291,0.000898
15,15,15,0,0|0|0|0|0|0|0|0|1|1|2|2|3|3|3,,1,15,13.001014,0.000918,15,13.000910,0.001197
15,15,15,0,0|0|0|0|0|0|0|0|0|2|2|2|3|3|3,,1,15,12.633325,0.001197,15,12.633810,0.001313
15,15,15,0,0|0|0|0|0|0|0|0|1|1|1|3|3|3|3,,1,15,12.970698,0.001285,15,12.970888,0.001099
15,15,15,0,0|0|0|0|0|0|0|0|0|1|2|3|3|3|3,,1,15,12.620837,0.001332,15,12.620974,0.001697
15,15,15,0,0|0|0|0|0|0|0|0|0|0|3|3|3|3|3,,1,15,12.163485,0.001610,15,12.163565,0.001213
15,15,15,0,0|0|0|1|1|1|1|1|1|1|1|1|1|1|4,,1,15,13.615076,0.001092,15,13.615493,0.001705
15,15,15,0,0|0|0|0|1|1|1|1|1|1|1|1|1|2|4,,1,15,13.655141,0.001298,15,13.654359,0.001032
15,15,15,0,0|0|0|0|0|1|1|1|1|1|1|1|2|2|4,,1,15,13.615391,0.001328,15,13.614999,0.001280
15,15,15,0,0|0|0|0|0|0|1|1|1|1|1|2|2|2|4,,1,15,13.496387,0.000725,15,13.496495,0.001082
15,15,15,0,0|0|0|0|0|0|0|1|1|1|2|2|2|2|4,,1,15,13.294693,0.000991,15,13.294574,0.001248
15,15,15,0,0|0|0|0|0|0|0|0|1|2|2|2|2|2|4,,1,15,13.004379,0.001294,15,13.004324,0.001322
15,15,15,0,0|0|0|0|0|1|1|1|1|1|1|1|1|3|4,,1,15,13.571453,0.001314,15,13.572147,0.001573
15,15,15,0,0|0|0|0|0|0|1|1|1|1|1|1|2|3|4,,1,15,13.481890,0.001141,15,13.482597,0.000738
15,15,15,0,0|0|0|0|0|0|0|1|1|1|1|2|2|3|4,,1,15,13.299399,0.000736,15,13.300014,0.000950
15,15,15,0,0|0|0|0|0|0|0|0|1|1|2|2|2|3|4,,1,15,13.021685,0.000860,15,13.021458,0.001112
15,15,15,0,0|0|0|0|0|0|0|0|0|2|2|2|2|3|4,,1,15,12.648386,0.001746,15,12.647674,0.000823
15,15,15,0,0|0|0|0|0|0|0|1|1|1|1|1|3|3|4,,1,15,13.256552,0.001268,15,13.256245,0.000815
15,15,15,0,0|0|0|0|0|0|0|0|1|1|1|2|3|3|4,,1,15,13.002099,0.000821,15,13.001160,0.001420
15,15,15,0,0|0|0|0|0|0|0|0|0|1|2|2|3|3|4,,1,15,12.643528,0.001025,15,12.643278,0.001506
15,15,15,0,0|0|0|0|0|0|0|0|0|1|1|3|3|3|4,,1,15,12.615479,0.000907,15,12.614964,0.001822
15,15,15,0,0|0|0|0|0|0|0|0|0|0|2|3|3|3|4,,1,15,12.179922,0.001865,15,12.180065,0.000976
15,15,15,0,0|0|0|0|0|0|1|1|1|1|1|1|1|4|4,,1,15,13.400670,0.001067,15,13.401095,0.001354
15,15,15,0,0|0|0|0|0|0|0|1|1|1|1|1|2|4|4,,1,15,13.250641,0.000643,15,13.250899,0.000969
15,15,15,0,0|0|0|0|0|0|0|0|1|1|1|2|2|4|4,,1,15,12.995556,0.000991,15,12.995330,0.001028
15,15,15,0,0|0|0|0|0|0|0|0|0|1|2|2|2|4|4,,1,15,12.637923,0.000909,15,12.636916,0.000603
15,15,15,0,0|0|0|0|0|0|0|0|1|1|1|1|3|4|4,,1,15,12.952484,0.001432,15,12.952393,0.001047
15,15,15,0,0|0|0|0|0|0|0|0|0|1|1|2|3|4|4,,1,15,12.618323,0.001181,15,12.617798,0.001145
15,15,15,0,0|0|0|0|0|0|0|0|0|0|2|2|3|4|4,,1,15,12.181383,0.001190,15,12.181037,0.001365
15,15,15,0,0|0|0|0|0|0|0|0|0|0|1|3|3|4|4,,1,15,12.159141,0.001294,15,12.159559,0.001205
15,15,15,0,0|0|0|0|0|0|0|0|0|1|1|1|4|4|4,,1,15,12.565747,0.001055,15,12.565253,0.001217
15,15,15,0,0|0|0|0|0|0|0|0|0|0|1|2|4|4|4,,1,15,12.156002,0.001648,15,12.156480,0.001577
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|3|4|4|4,,1,15,11.635094,0.001450,15,11.635712,0.001001
15,15,15,0,0|0|0|0|1|1|1|1|1|1|1|1|1|1|5,,1,15,13.548647,0.001168,15,13.548648,0.001049
15,15,15,0,0|0|0|0|0|1|1|1|1|1|1|1|1|2|5,,1,15,13.552577,0.000603,15,13.552669,0.000761
15,15,15,0,0|0|0|0|0|0|1|1|1|1|1|1|2|2|5,,1,15,13.462146,0.001198,15,13.461904,0.001237
15,15,15,0,0|0|0|0|0|0|0|1|1|1|1|2|2|2|5,,1,15,13.278584,0.000863,15,13.279444,0.000956
15,15,15,0,0|0|0|0|0|0|0|0|1|1|2|2|2|2|5,,1,15,12.999353,0.001303,15,12.998752,0.000979
15,15,15,0,0|0|0|0|0|0|0|0|0|2|2|2|2|2|5,,1,15,12.626843,0.001074,15,12.627490,0.001485
15,15,15,0,0|0|0|0|0|0|1|1|1|1|1|1|1|3|5,,1,15,13.412890,0.000951,15,13.412899,0.000956
15,15,15,0,0|0|0|0|0|0|0|1|1|1|1|1|2|3|5,,1,15,13.261449,0.001048,15,13.260848,0.000706
15,15,15,0,0|0|0|0|0|0|0|0|1|1|1|2|2|3|5,,1,15,13.002126,0.000961,15,13.002080,0.001256
15,15,15,0,0|0|0|0|0|0|0|0|0|1|2|2|2|3|5,,1,15,12.640832,0.001637,15,12.640506,0.001382
15,15,15,0,0|0|0|0|0|0|0|0|1|1|1|1|3|3|5,,1,15,12.958230,0.000931,15,12.958033,0.000856
15,15,15,0,0|0|0|0|0|0|0|0|0|1|1|2|3|3|5,,1,15,12.621215,0.001223,15,12.621081,0.001312
15,15,15,0,0|0|0|0|0|0|0|0|0|0|2|2|3|3|5,,1,15,12.182687,0.001268,15,12.183004,0.001086
15,15,15,0,0|0|0|0|0|0|0|0|0|0|1|3|3|3|5,,1,15,12.159542,0.001129,15,12.159683,0.001287
15,15,15,0,0|0|0|0|0|0|0|1|1|1|1|1|1|4|5,,1,15,13.173690,0.000888,15,13.174704,0.001162
15,15,15,0,0|0|0|0|0|0|0|0|1|1|1|1|2|4|5,,1,15,12.951721,0.000870,15,12.951858,0.001113
15,15,15,0,0|0|0|0|0|0|0|0|0|1|1|2|2|4|5,,1,15,12.615357,0.001276,15,12.615899,0.001412
15,15,15,0,0|0|0|0|0|0|0|0|0|0|2|2|2|4|5,,1,15,12.178050,0.001163,15,12.178416,0.001245
