panel,n,m,replication,throughput,mean,halfwidth,warmup,steps,seed,loops
table2a_single_staggered,4,4,1,2.732733250,2.732593575,0.000119286,20000,4000000,20260901,"24 24 25 26"
table2a_single_staggered,4,4,2,2.732692750,2.732593575,0.000119286,20000,4000000,20260901,"24 24 25 26"
table2a_single_staggered,4,4,3,2.732703750,2.732593575,0.000119286,20000,4000000,20260901,"24 24 25 26"
table2a_single_staggered,4,4,4,2.732444250,2.732593575,0.000119286,20000,4000000,20260901,"24 24 25 26"
table2a_single_staggered,4,4,5,2.732871000,2.732593575,0.000119286,20000,4000000,20260901,"24 24 25 26"
table2a_single_staggered,4,4,6,2.732355500,2.732593575,0.000119286,20000,4000000,20260901,"24 24 25 26"
table2a_single_staggered,4,4,7,2.732538000,2.732593575,0.000119286,20000,4000000,20260901,"24 24 25 26"
table2a_single_staggered,4,4,8,2.732415500,2.732593575,0.000119286,20000,4000000,20260901,"24 24 25 26"
table2a_single_staggered,4,4,9,2.732496000,2.732593575,0.000119286,20000,4000000,20260901,"24 24 25 26"
table2a_single_staggered,4,4,10,2.732685750,2.732593575,0.000119286,20000,4000000,20260901,"24 24 25 26"
table2a_single_staggered,4,5,1,3.046493750,3.046637050,0.000197529,20000,4000000,20260901,"24 24 25 26 27"
table2a_single_staggered,4,5,2,3.046866500,3.046637050,0.000197529,20000,4000000,20260901,"24 24 25 26 27"
table2a_single_staggered,4,5,3,3.046877750,3.046637050,0.000197529,20000,4000000,20260901,"24 24 25 26 27"
table2a_single_staggered,4,5,4,3.046197000,3.046637050,0.000197529,20000,4000000,20260901,"24 24 25 26 27"
table2a_single_staggered,4,5,5,3.046698500,3.046637050,0.000197529,20000,4000000,20260901,"24 24 25 26 27"
table2a_single_staggered,4,5,6,3.046395500,3.046637050,0.000197529,20000,4000000,20260901,"24 24 25 26 27"
table2a_single_staggered,4,5,7,3.047089250,3.046637050,0.000197529,20000,4000000,20260901,"24 24 25 26 27"
table2a_single_staggered,4,5,8,3.046570250,3.046637050,0.000197529,20000,4000000,20260901,"24 24 25 26 27"
table2a_single_staggered,4,5,9,3.046383500,3.046637050,0.000197529,20000,4000000,20260901,"24 24 25 26 27"
table2a_single_staggered,4,5,10,3.046798500,3.046637050,0.000197529,20000,4000000,20260901,"24 24 25 26 27"
table2a_single_staggered,4,6,1,3.281130000,3.281214200,0.000217954,20000,4000000,20260901,"24 24 25 26 27 28"
table2a_single_staggered,4,6,2,3.281127500,3.281214200,0.000217954,20000,4000000,20260901,"24 24 25 26 27 28"
table2a_single_staggered,4,6,3,3.280903750,3.281214200,0.000217954,20000,4000000,20260901,"24 24 25 26 27 28"
table2a_single_staggered,4,6,4,3.280870000,3.281214200,0.000217954,20000,4000000,20260901,"24 24 25 26 27 28"
table2a_single_staggered,4,6,5,3.281295000,3.281214200,0.000217954,20000,4000000,20260901,"24 24 25 26 27 28"
table2a_single_staggered,4,6,6,3.280933250,3.281214200,0.000217954,20000,4000000,20260901,"24 24 25 26 27 28"
table2a_single_staggered,4,6,7,3.281780750,3.281214200,0.000217954,20000,4000000,20260901,"24 24 25 26 27 28"
table2a_single_staggered,4,6,8,3.281075500,3.281214200,0.000217954,20000,4000000,20260901,"24 24 25 26 27 28"
table2a_single_staggered,4,6,9,3.281541250,3.281214200,0.000217954,20000,4000000,20260901,"24 24 25 26 27 28"
table2a_single_staggered,4,6,10,3.281485000,3.281214200,0.000217954,20000,4000000,20260901,"24 24 25 26 27 28"
table2a_single_staggered,4,7,1,3.456867500,3.457303125,0.000220616,20000,4000000,20260901,"24 24 25 26 27 28 29"
table2a_single_staggered,4,7,2,3.457396500,3.457303125,0.000220616,20000,4000000,20260901,"24 24 25 26 27 28 29"
table2a_single_staggered,4,7,3,3.457229750,3.457303125,0.000220616,20000,4000000,20260901,"24 24 25 26 27 28 29"
table2a_single_staggered,4,7,4,3.457171000,3.457303125,0.000220616,20000,4000000,20260901,"24 24 25 26 27 28 29"
table2a_single_staggered,4,7,5,3.457620000,3.457303125,0.000220616,20000,4000000,20260901,"24 24 25 26 27 28 29"
table2a_single_staggered,4,7,6,3.457043250,3.457303125,0.000220616,20000,4000000,20260901,"24 24 25 26 27 28 29"
table2a_single_staggered,4,7,7,3.457669750,3.457303125,0.000220616,20000,4000000,20260901,"24 24 25 26 27 28 29"
table2a_single_staggered,4,7,8,3.456877500,3.457303125,0.000220616,20000,4000000,20260901,"24 24 25 26 27 28 29"
table2a_single_staggered,4,7,9,3.457579500,3.457303125,0.000220616,20000,4000000,20260901,"24 24 25 26 27 28 29"
table2a_single_staggered,4,7,10,3.457576500,3.457303125,0.000220616,20000,4000000,20260901,"24 24 25 26 27 28 29"
table2a_single_staggered,4,8,1,3.588270250,3.588807800,0.000207002,20000,4000000,20260901,"24 24 25 26 27 28 29 30"
table2a_single_staggered,4,8,2,3.589241500,3.588807800,0.000207002,20000,4000000,20260901,"24 24 25 26 27 28 29 30"
table2a_single_staggered,4,8,3,3.588725500,3.588807800,0.000207002,20000,4000000,20260901,"24 24 25 26 27 28 29 30"
table2a_single_staggered,4,8,4,3.588699500,3.588807800,0.000207002,20000,4000000,20260901,"24 24 25 26 27 28 29 30"
table2a_single_staggered,4,8,5,3.588994500,3.588807800,0.000207002,20000,4000000,20260901,"24 24 25 26 27 28 29 30"
table2a_single_staggered,4,8,6,3.588659250,3.588807800,0.000207002,20000,4000000,20260901,"24 24 25 26 27 28 29 30"
table2a_single_staggered,4,8,7,3.589149250,3.588807800,0.000207002,20000,4000000,20260901,"24 24 25 26 27 28 29 30"
table2a_single_staggered,4,8,8,3.588562500,3.588807800,0.000207002,20000,4000000,20260901,"24 24 25 26 27 28 29 30"
table2a_single_staggered,4,8,9,3.588812000,3.588807800,0.000207002,20000,4000000,20260901,"24 24 25 26 27 28 29 30"
table2a_single_staggered,4,8,10,3.588963750,3.588807800,0.000207002,20000,4000000,20260901,"24 24 25 26 27 28 29 30"
table2a_single_staggered,4,9,1,3.686890750,3.687410450,0.000226259,20000,4000000,20260901,"24 24 25 26 27 28 29 30 31"
table2a_single_staggered,4,9,2,3.687874250,3.687410450,0.000226259,20000,4000000,20260901,"24 24 25 26 27 28 29 30 31"
