panel,n,m,replication,throughput,mean,halfwidth,warmup,steps,seed,loops
table2b_dual_staggered_return,4,4,1,3.082476500,3.082385500,0.000234446,20000,4000000,20260901,"24 24 25 26"
table2b_dual_staggered_return,4,4,2,3.082960750,3.082385500,0.000234446,20000,4000000,20260901,"24 24 25 26"
table2b_dual_staggered_return,4,4,3,3.082143500,3.082385500,0.000234446,20000,4000000,20260901,"24 24 25 26"
table2b_dual_staggered_return,4,4,4,3.082857000,3.082385500,0.000234446,20000,4000000,20260901,"24 24 25 26"
table2b_dual_staggered_return,4,4,5,3.081940500,3.082385500,0.000234446,20000,4000000,20260901,"24 24 25 26"
table2b_dual_staggered_return,4,4,6,3.082381250,3.082385500,0.000234446,20000,4000000,20260901,"24 24 25 26"
table2b_dual_staggered_return,4,4,7,3.082516750,3.082385500,0.000234446,20000,4000000,20260901,"24 24 25 26"
table2b_dual_staggered_return,4,4,8,3.082165000,3.082385500,0.000234446,20000,4000000,20260901,"24 24 25 26"
table2b_dual_staggered_return,4,4,9,3.082109750,3.082385500,0.000234446,20000,4000000,20260901,"24 24 25 26"
table2b_dual_staggered_return,4,4,10,3.082304000,3.082385500,0.000234446,20000,4000000,20260901,"24 24 25 26"
table2b_dual_staggered_return,4,5,1,3.416142250,3.416093225,0.000300565,20000,4000000,20260901,"24 24 25 26 27"
table2b_dual_staggered_return,4,5,2,3.416432000,3.416093225,0.000300565,20000,4000000,20260901,"24 24 25 26 27"
table2b_dual_staggered_return,4,5,3,3.415838750,3.416093225,0.000300565,20000,4000000,20260901,"24 24 25 26 27"
table2b_dual_staggered_return,4,5,4,3.417076500,3.416093225,0.000300565,20000,4000000,20260901,"24 24 25 26 27"
table2b_dual_staggered_return,4,5,5,3.415750000,3.416093225,0.000300565,20000,4000000,20260901,"24 24 25 26 27"
table2b_dual_staggered_return,4,5,6,3.416199500,3.416093225,0.000300565,20000,4000000,20260901,"24 24 25 26 27"
table2b_dual_staggered_return,4,5,7,3.415892000,3.416093225,0.000300565,20000,4000000,20260901,"24 24 25 26 27"
table2b_dual_staggered_return,4,5,8,3.415734250,3.416093225,0.000300565,20000,4000000,20260901,"24 24 25 26 27"
table2b_dual_staggered_return,4,5,9,3.415720750,3.416093225,0.000300565,20000,4000000,20260901,"24 24 25 26 27"
table2b_dual_staggered_return,4,5,10,3.416146250,3.416093225,0.000300565,20000,4000000,20260901,"24 24 25 26 27"
table2b_dual_staggered_return,4,6,1,3.625891500,3.625931875,0.000251884,20000,4000000,20260901,"24 24 25 26 27 28"
table2b_dual_staggered_return,4,6,2,3.626322500,3.625931875,0.000251884,20000,4000000,20260901,"24 24 25 26 27 28"
table2b_dual_staggered_return,4,6,3,3.625786000,3.625931875,0.000251884,20000,4000000,20260901,"24 24 25 26 27 28"
table2b_dual_staggered_return,4,6,4,3.626639500,3.625931875,0.000251884,20000,4000000,20260901,"24 24 25 26 27 28"
table2b_dual_staggered_return,4,6,5,3.625964000,3.625931875,0.000251884,20000,4000000,20260901,"24 24 25 26 27 28"
table2b_dual_staggered_return,4,6,6,3.625938250,3.625931875,0.000251884,20000,4000000,20260901,"24 24 25 26 27 28"
table2b_dual_staggered_return,4,6,7,3.625616750,3.625931875,0.000251884,20000,4000000,20260901,"24 24 25 26 27 28"
