panel,n,m,replication,throughput,mean,halfwidth,warmup,steps,seed,loops
table2c_dual_staggered_turnaround,4,4,1,3.104979699,3.104990100,0.000181722,20000,1330000,20260901,"24 24 25 26"
table2c_dual_staggered_turnaround,4,4,2,3.104244361,3.104990100,0.000181722,20000,1330000,20260901,"24 24 25 26"
table2c_dual_staggered_turnaround,4,4,3,3.105161654,3.104990100,0.000181722,20000,1330000,20260901,"24 24 25 26"
table2c_dual_staggered_turnaround,4,4,4,3.104057143,3.104990100,0.000181722,20000,1330000,20260901,"24 24 25 26"
table2c_dual_staggered_turnaround,4,4,5,3.104887970,3.104990100,0.000181722,20000,1330000,20260901,"24 24 25 26"
table2c_dual_staggered_turnaround,4,4,6,3.104692481,3.104990100,0.000181722,20000,1330000,20260901,"24 24 25 26"
table2c_dual_staggered_turnaround,4,4,7,3.105278195,3.104990100,0.000181722,20000,1330000,20260901,"24 24 25 26"
table2c_dual_staggered_turnaround,4,4,8,3.104580451,3.104990100,0.000181722,20000,1330000,20260901,"24 24 25 26"
table2c_dual_staggered_turnaround,4,4,9,3.105687970,3.104990100,0.000181722,20000,1330000,20260901,"24 24 25 26"
table2c_dual_staggered_turnaround,4,4,10,3.104642105,3.104990100,0.000181722,20000,1330000,20260901,"24 24 25 26"
table2c_dual_staggered_turnaround,4,4,11,3.105506767,3.104990100,0.000181722,20000,1330000,20260901,"24 24 25 26"
table2c_dual_staggered_turnaround,4,4,12,3.105166917,3.104990100,0.000181722,20000,1330000,20260901,"24 24 25 26"
table2c_dual_staggered_turnaround,4,4,13,3.105867669,3.104990100,0.000181722,20000,1330000,20260901,"24 24 25 26"
table2c_dual_staggered_turnaround,4,4,14,3.104810526,3.104990100,0.000181722,20000,1330000,20260901,"24 24 25 26"
table2c_dual_staggered_turnaround,4,4,15,3.104851880,3.104990100,0.000181722,20000,1330000,20260901,"24 24 25 26"
table2c_dual_staggered_turnaround,4,4,16,3.105233083,3.104990100,0.000181722,20000,1330000,20260901,"24 24 25 26"
table2c_dual_staggered_turnaround,4,4,17,3.105755639,3.104990100,0.000181722,20000,1330000,20260901,"24 24 25 26"
table2c_dual_staggered_turnaround,4,4,18,3.104874436,3.104990100,0.000181722,20000,1330000,20260901,"24 24 25 26"
table2c_dual_staggered_turnaround,4,4,19,3.105123308,3.104990100,0.000181722,20000,1330000,20260901,"24 24 25 26"
table2c_dual_staggered_turnaround,4,4,20,3.104751128,3.104990100,0.000181722,20000,1330000,20260901,"24 24 25 26"
