n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,4,8,1,0|0|0|0,0|2|3|3,1,15,3.739048,0.000524,15,3.739415,0.000979
4,4,8,1,0|0|0|0,0|2|2|4,1,15,3.758080,0.000914,15,3.757675,0.000815
4,4,8,1,0|0|0|0,0|1|3|4,1,15,3.760724,0.001074,15,3.760590,0.000791
4,4,8,1,0|0|0|0,0|0|4|4,1,15,3.722440,0.000814,15,3.722566,0.000636
4,4,8,1,0|0|0|0,0|1|2|5,1,15,3.773193,0.001260,15,3.772763,0.001324
4,4,8,1,0|0|0|0,0|0|3|5,1,15,3.739333,0.000784,15,3.739152,0.000853
4,4,8,1,0|0|0|0,0|1|1|6,1,15,3.770669,0.000874,15,3.770157,0.001258
4,4,8,1,0|0|0|0,0|0|2|6,1,15,3.750186,0.000870,15,3.750272,0.000674
4,4,8,1,0|0|0|0,0|0|1|7,1,15,3.744510,0.001055,15,3.744884,0.000560
4,4,8,1,0|0|0|0,0|0|0|8,1,15,3.565425,0.000627,15,3.565176,0.000564
