n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,5,9,1,0|0|0|0|0,0|2|2|2|3,1,15,3.903409,0.001605,15,3.903921,0.000849
4,5,9,1,0|0|0|0|0,0|1|2|3|3,1,15,3.907986,0.000963,15,3.907835,0.001367
4,5,9,1,0|0|0|0|0,0|0|3|3|3,1,15,3.902319,0.001381,15,3.902161,0.001118
4,5,9,1,0|0|0|0|0,0|1|2|2|4,1,15,3.908014,0.001422,15,3.907945,0.001591
4,5,9,1,0|0|0|0|0,0|1|1|3|4,1,15,3.909290,0.001052,15,3.908112,0.001100
4,5,9,1,0|0|0|0|0,0|0|2|3|4,1,15,3.905780,0.001236,15,3.905671,0.000971
4,5,9,1,0|0|0|0|0,0|0|1|4|4,1,15,3.906449,0.001687,15,3.906546,0.001557
4,5,9,1,0|0|0|0|0,0|1|1|2|5,1,15,3.908757,0.001890,15,3.908099,0.001415
4,5,9,1,0|0|0|0|0,0|0|2|2|5,1,15,3.905452,0.001035,15,3.905987,0.001301
4,5,9,1,0|0|0|0|0,0|0|1|3|5,1,15,3.907355,0.000819,15,3.907419,0.001196
4,5,9,1,0|0|0|0|0,0|0|0|4|5,1,15,3.890960,0.001244,15,3.890583,0.000880
4,5,9,1,0|0|0|0|0,0|1|1|1|6,1,15,3.903833,0.001348,15,3.903896,0.001366
4,5,9,1,0|0|0|0|0,0|0|1|2|6,1,15,3.906376,0.001026,15,3.907021,0.001118
4,5,9,1,0|0|0|0|0,0|0|0|3|6,1,15,3.893092,0.001007,15,3.893378,0.001081
4,5,9,1,0|0|0|0|0,0|0|1|1|7,1,15,3.901326,0.001773,15,3.901926,0.001621
4,5,9,1,0|0|0|0|0,0|0|0|2|7,1,15,3.893302,0.001279,15,3.893332,0.001296
4,5,9,1,0|0|0|0|0,0|0|0|1|8,1,15,3.888513,0.001094,15,3.887588,0.001365
4,5,9,1,0|0|0|0|0,0|0|0|0|9,1,15,3.846107,0.001583,15,3.846476,0.001164
