n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,4,8,0,0|2|3|3,,1,15,3.680562,0.000815,15,3.681027,0.000806
4,4,8,0,0|2|2|4,,1,15,3.710579,0.000712,15,3.710551,0.000865
4,4,8,0,0|1|3|4,,1,15,3.716354,0.000798,15,3.715929,0.000827
4,4,8,0,0|0|4|4,,1,15,3.616278,0.000858,15,3.616292,0.000466
4,4,8,0,0|1|2|5,,1,15,3.733990,0.001009,15,3.733421,0.000853
4,4,8,0,0|0|3|5,,1,15,3.642429,0.000736,15,3.642429,0.000668
4,4,8,0,0|1|1|6,,1,15,3.715523,0.000782,15,3.715565,0.001068
4,4,8,0,0|0|2|6,,1,15,3.653381,0.000890,15,3.653347,0.000663
4,4,8,0,0|0|1|7,,1,15,3.619078,0.000717,15,3.618960,0.000542
4,4,8,0,0|0|0|8,,1,15,3.268655,0.000591,15,3.268682,0.000565
