n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
4,5,10,0,0|2|2|3|3,,1,15,3.893767,0.001166,15,3.893904,0.001204
4,5,10,0,0|1|3|3|3,,1,15,3.895488,0.000901,15,3.894879,0.001284
4,5,10,0,0|2|2|2|4,,1,15,3.893881,0.000991,15,3.893920,0.001099
4,5,10,0,0|1|2|3|4,,1,15,3.901234,0.001235,15,3.901410,0.000883
4,5,10,0,0|0|3|3|4,,1,15,3.887252,0.001223,15,3.887013,0.001480
4,5,10,0,0|1|1|4|4,,1,15,3.900550,0.001231,15,3.900785,0.001213
4,5,10,0,0|0|2|4|4,,1,15,3.891543,0.000833,15,3.891703,0.000867
4,5,10,0,0|1|2|2|5,,1,15,3.899396,0.001049,15,3.899496,0.001160
4,5,10,0,0|1|1|3|5,,1,15,3.901731,0.000803,15,3.901885,0.001087
4,5,10,0,0|0|2|3|5,,1,15,3.893510,0.000943,15,3.893541,0.001116
4,5,10,0,0|0|1|4|5,,1,15,3.892807,0.001304,15,3.892849,0.001441
4,5,10,0,0|0|0|5|5,,1,15,3.846564,0.001349,15,3.846089,0.001333
4,5,10,0,0|1|1|2|6,,1,15,3.899139,0.001169,15,3.899461,0.001291
4,5,10,0,0|0|2|2|6,,1,15,3.891734,0.001289,15,3.892128,0.001108
4,5,10,0,0|0|1|3|6,,1,15,3.894395,0.001284,15,3.894409,0.001064
4,5,10,0,0|0|0|4|6,,1,15,3.855242,0.001347,15,3.854842,0.001011
4,5,10,0,0|1|1|1|7,,1,15,3.891470,0.001297,15,3.890492,0.001579
4,5,10,0,0|0|1|2|7,,1,15,3.891555,0.001562,15,3.891459,0.001222
4,5,10,0,0|0|0|3|7,,1,15,3.860463,0.001113,15,3.860545,0.001365
4,5,10,0,0|0|1|1|8,,1,15,3.882779,0.001995,15,3.881996,0.001650
4,5,10,0,0|0|0|2|8,,1,15,3.862016,0.001452,15,3.861355,0.000819
4,5,10,0,0|0|0|1|9,,1,15,3.848755,0.001547,15,3.848096,0.001366
4,5,10,0,0|0|0|0|10,,1,15,3.614719,0.000733,15,3.614835,0.000471
