panel,n,m,throughput,halfwidth,sd,gain_percent,replications,steps,warmup,seed,dual,loops
table1a_single_exact,4,4,2.620967742,,,,,,,,,
table1a_single_exact,4,5,2.863337459,,,,,,,,,
table1a_single_exact,4,6,3.037008573,,,,,,,,,
table1a_single_exact,4,7,3.166256278,,,,,,,,,
table1a_single_exact,4,8,3.265698365,,,,,,,,,
table1a_single_exact,4,9,3.344361183,,,,,,,,,
table1a_single_exact,5,4,2.862953754,,,,,,,,,
table1a_single_exact,5,5,3.199587403,,,,,,,,,
table1a_single_exact,5,6,3.453308582,,,,,,,,,
table1a_single_exact,5,7,3.648633750,,,,,,,,,
table1a_single_exact,5,8,3.802398331,,,,,,,,,
table1a_single_exact,5,9,3.925990505,,,,,,,,,
table1a_single_exact,6,4,3.036474164,,,,,,,,,
table1a_single_exact,6,5,3.452995621,,,,,,,,,
table1a_single_exact,6,6,3.780897401,,,,,,,,,
table1a_single_exact,6,7,4.041756829,,,,,,,,,
table1a_single_exact,6,8,4.252146129,,,,,,,,,
table1a_single_exact,6,9,4.424309380,,,,,,,,,
table1a_single_exact,7,4,3.165729221,,,,,,,,,
table1a_single_exact,7,5,3.648168034,,,,,,,,,
table1a_single_exact,7,6,4.041511282,,,,,,,,,
table1a_single_exact,7,7,4.363593721,,,,,,,,,
table1a_single_exact,7,8,4.629388447,,,,,,,,,
table1a_single_exact,7,9,4.850838231,,,,,,,,,
table1a_single_exact,8,4,3.265230654,,,,,,,,,
table1a_single_exact,8,5,3.801886269,,,,,,,,,
table1a_single_exact,8,6,4.251750303,,,,,,,,,
table1a_single_exact,8,7,4.629186925,,,,,,,,,
table1a_single_exact,8,8,4.947119140,,,,,,,,,
table1a_single_exact,8,9,5.216529824,,,,,,,,,
table1a_single_exact,9,4,3.343962441,,,,,,,,,
table1a_single_exact,9,5,3.925489030,,,,,,,,,
table1a_single_exact,9,6,4.423840087,,,,,,,,,
table1a_single_exact,9,7,4.850497251,,,,,,,,,
table1a_single_exact,9,8,5.216359126,,,,,,,,,
table1a_single_exact,9,9,5.531179194,,,,,,,,,
table1b_dual_identical,4,4,3.027619774,0.000201972,0.000540900,,30,1330000,20000,20260901,true,"24 24 24 24"
table1b_dual_identical,4,5,3.315395288,0.000246754,0.000660830,,30,1330000,20000,20260901,true,"24 24 24 24 24"
table1b_dual_identical,4,6,3.495002857,0.000280651,0.000751609,,30,1330000,20000,20260901,true,"24 24 24 24 24 24"
table1b_dual_identical,4,7,3.610756742,0.000330762,0.000885809,,30,1330000,20000,20260901,true,"24 24 24 24 24 24 24"
table1b_dual_identical,4,8,3.688869323,0.000378749,0.001014323,,30,1330000,20000,20260901,true,"24 24 24 24 24 24 24 24"
table1b_dual_identical,4,9,3.743889273,0.000406089,0.001087542,,30,1330000,20000,20260901,true,"24 24 24 24 24 24 24 24 24"
table1b_dual_identical,5,4,3.300650326,0.000237089,0.000634946,,30,1330000,20000,20260901,true,"28 28 28 28"
table1b_dual_identical,5,5,3.728360226,0.000308439,0.000826027,,30,1330000,20000,20260901,true,"28 28 28 28 28"
table1b_dual_identical,5,6,4.025301479,0.000363801,0.000974291,,30,1330000,20000,20260901,true,"28 28 28 28 28 28"
table1b_dual_identical,5,7,4.231794035,0.000351275,0.000940746,,30,1330000,20000,20260901,true,"28 28 28 28 28 28 28"
table1b_dual_identical,5,8,4.378236115,0.000380520,0.001019066,,30,1330000,20000,20260901,true,"28 28 28 28 28 28 28 28"
table1b_dual_identical,5,9,4.484724211,0.000425895,0.001140585,,30,1330000,20000,20260901,true,"28 28 28 28 28 28 28 28 28"
table1b_dual_identical,6,4,3.491110952,0.000197097,0.000527844,,30,1330000,20000,20260901,true,"32 32 32 32"
table1b_dual_identical,6,5,4.043810902,0.000307527,0.000823585,,30,1330000,20000,20260901,true,"32 32 32 32 32"
table1b_dual_identical,6,6,4.462587644,0.000344749,0.000923269,,30,1330000,20000,20260901,true,"32 32 32 32 32 32"
table1b_dual_identical,6,7,4.773698722,0.000389648,0.001043511,,30,1330000,20000,20260901,true,"32 32 32 32 32 32 32"
table1b_dual_identical,6,8,5.004207193,0.000422733,0.001132115,,30,1330000,20000,20260901,true,"32 32 32 32 32 32 32 32"
table1b_dual_identical,6,9,5.176767870,0.000470367,0.001259684,,30,1330000,20000,20260901,true,"32 32 32 32 32 32 32 32 32"
table1b_dual_identical,7,4,3.605667895,0.000158401,0.000424212,,30,1330000,20000,20260901,true,"36 36 36 36"
table1b_dual_identical,7,5,4.243313459,0.000206921,0.000554152,,30,1330000,20000,20260901,true,"36 36 36 36 36"
table1b_dual_identical,7,6,4.756090877,0.000293136,0.000785045,,30,1330000,20000,20260901,true,"36 36 36 36 36 36"
table1b_dual_identical,7,7,5.158802907,0.000308041,0.000824962,,30,1330000,20000,20260901,true,"36 36 36 36 36 36 36"
table1b_dual_identical,7,8,5.471488020,0.000395109,0.001058137,,30,1330000,20000,20260901,true,"36 36 36 36 36 36 36 36"
table1b_dual_identical,7,9,5.714111704,0.000433783,0.001161709,,30,1330000,20000,20260901,true,"36 36 36 36 36 36 36 36 36"
table1b_dual_identical,8,4,3.693041479,0.000138332,0.000370464,,30,1330000,20000,20260901,true,"40 40 40 40"
table1b_dual_identical,8,5,4.403122331,0.000231569,0.000620162,,30,1330000,20000,20260901,true,"40 40 40 40 40"
table1b_dual_identical,8,6,5.002640451,0.000259943,0.000696150,,30,1330000,20000,20260901,true,"40 40 40 40 40 40"
table1b_dual_identical,8,7,5.496468571,0.000338578,0.000906741,,30,1330000,20000,20260901,true,"40 40 40 40 40 40 40"
table1b_dual_identical,8,8,5.896607168,0.000372713,0.000998159,,30,1330000,20000,20260901,true,"40 40 40 40 40 40 40 40"
table1b_dual_identical,8,9,6.217891830,0.000400218,0.001071819,,30,1330000,20000,20260901,true,"40 40 40 40 40 40 40 40 40"
table1b_dual_identical,9,4,3.749665915,0.000169561,0.000454100,,30,1330000,20000,20260901,true,"44 44 44 44"
table1b_dual_identical,9,5,4.508302982,0.000221413,0.000592963,,30,1330000,20000,20260901,true,"44 44 44 44 44"
table1b_dual_identical,9,6,5.168562632,0.000281709,0.000754441,,30,1330000,20000,20260901,true,"44 44 44 44 44 44"
table1b_dual_identical,9,7,5.730782281,0.000282463,0.000756461,,30,1330000,20000,20260901,true,"44 44 44 44 44 44 44"
