mechanism,n,m,B,allocations,role,alloc,throughput,halfwidth,min_load,loader_utilizations
single,4,4,0,1,balanced,"0,0,0,0",2.620905,0.000280,0.351776,1.000000|0.750028|0.519100|0.351776
single,4,4,0,1,fastest,"0,0,0,0",2.620905,0.000280,0.351776,1.000000|0.750028|0.519100|0.351776
single,4,4,1,1,balanced,"0,0,0,1",3.073223,0.000250,0.519100,1.000000|0.750028|0.519100|0.804094
single,4,4,1,1,fastest,"0,0,0,1",3.073223,0.000250,0.519100,1.000000|0.750028|0.519100|0.804094
single,4,4,2,2,balanced,"0,0,1,1",3.316025,0.000274,0.662797,1.000000|0.750028|0.903200|0.662797
single,4,4,2,2,fastest,"0,0,1,1",3.316025,0.000274,0.662797,1.000000|0.750028|0.903200|0.662797
single,4,4,3,3,balanced,"0,0,1,2",3.452422,0.000237,0.750028,1.000000|0.750028|0.903200|0.799194
single,4,4,3,3,fastest,"0,0,1,2",3.452422,0.000237,0.750028,1.000000|0.750028|0.903200|0.799194
single,4,4,4,4,balanced,"0,0,1,3",3.525185,0.000270,0.750028,1.000000|0.750028|0.903200|0.871957
single,4,4,4,4,fastest,"0,1,1,2",3.545972,0.000293,0.721695,1.000000|0.974856|0.849422|0.721695
single,4,4,5,5,balanced,"0,1,1,3",3.620847,0.000306,0.796570,1.000000|0.974856|0.849422|0.796570
single,4,4,5,5,fastest,"0,1,1,3",3.620847,0.000306,0.796570,1.000000|0.974856|0.849422|0.796570
single,4,4,6,7,balanced,"0,1,1,4",3.666639,0.000315,0.842362,1.000000|0.974856|0.849422|0.842362
single,4,4,6,7,fastest,"0,1,1,4",3.666639,0.000315,0.842362,1.000000|0.974856|0.849422|0.842362
single,4,4,7,8,balanced,"0,1,1,5",3.695696,0.000335,0.849422,1.000000|0.974856|0.849422|0.871419
single,4,4,7,8,fastest,"0,1,2,4",3.704942,0.000361,0.783819,1.000000|0.974856|0.946267|0.783819
single,4,4,8,10,balanced,"0,1,1,6",3.715366,0.000289,0.849422,1.000000|0.974856|0.849422|0.891089
single,4,4,8,10,fastest,"0,1,2,5",3.733795,0.000388,0.812672,1.000000|0.974856|0.946267|0.812672
single,4,4,9,12,balanced,"0,1,1,7",3.730051,0.000346,0.849422,1.000000|0.974856|0.849422|0.905774
single,4,4,9,12,fastest,"0,1,2,6",3.753884,0.000427,0.832762,1.000000|0.974856|0.946267|0.832762
single,4,4,10,14,balanced,"0,1,1,8",3.741507,0.000320,0.849422,1.000000|0.974856|0.849422|0.917229
single,4,4,10,14,fastest,"0,1,2,7",3.769022,0.000408,0.847899,1.000000|0.974856|0.946267|0.847899
dual,4,4,0,1,balanced,"0,0,0,0",3.034922,0.000223,0.461800,1.000000|0.889848|0.683274|0.461800
dual,4,4,0,1,fastest,"0,0,0,0",3.034922,0.000223,0.461800,1.000000|0.889848|0.683274|0.461800
dual,4,4,1,1,balanced,"0,0,0,1",3.384240,0.000206,0.683274,1.000000|0.889848|0.683274|0.811119
dual,4,4,1,1,fastest,"0,0,0,1",3.384240,0.000206,0.683274,1.000000|0.889848|0.683274|0.811119
dual,4,4,2,2,balanced,"0,0,1,1",3.538523,0.000234,0.703155,1.000000|0.889848|0.945520|0.703155
dual,4,4,2,2,fastest,"0,0,1,1",3.538523,0.000234,0.703155,1.000000|0.889848|0.945520|0.703155
dual,4,4,3,3,balanced,"0,0,1,2",3.632620,0.000302,0.797252,1.000000|0.889848|0.945520|0.797252
dual,4,4,3,3,fastest,"0,0,1,2",3.632620,0.000302,0.797252,1.000000|0.889848|0.945520|0.797252
dual,4,4,4,4,balanced,"0,0,1,3",3.677003,0.000295,0.841635,1.000000|0.889848|0.945520|0.841635
dual,4,4,4,4,fastest,"0,0,1,3",3.677003,0.000295,0.841635,1.000000|0.889848|0.945520|0.841635
dual,4,4,5,5,balanced,"0,0,1,4",3.702320,0.000269,0.866952,1.000000|0.889848|0.945520|0.866952
dual,4,4,5,5,fastest,"0,1,1,3",3.716200,0.000200,0.794186,1.000000|0.994615|0.927399|0.794186
dual,4,4,6,7,balanced,"0,0,1,5",3.719871,0.000310,0.884503,1.000000|0.889848|0.945520|0.884503
dual,4,4,6,7,fastest,"0,1,1,4",3.740608,0.000295,0.818594,1.000000|0.994615|0.927399|0.818594
dual,4,4,7,8,balanced,"0,0,1,6",3.733163,0.000335,0.889848,1.000000|0.889848|0.945520|0.897795
dual,4,4,7,8,fastest,"0,1,1,5",3.757328,0.000302,0.835314,1.000000|0.994615|0.927399|0.835314
dual,4,4,8,10,balanced,"0,0,1,7",3.744343,0.000308,0.889848,1.000000|0.889848|0.945520|0.908975
dual,4,4,8,10,fastest,"0,1,2,5",3.773276,0.000327,0.798611,1.000000|0.994615|0.980050|0.798611
dual,4,4,9,12,balanced,"0,0,1,8",3.754348,0.000370,0.889848,1.000000|0.889848|0.945520|0.918980
dual,4,4,9,12,fastest,"0,1,2,6",3.786005,0.000391,0.811340,1.000000|0.994615|0.980050|0.811340
dual,4,4,10,14,balanced,"0,0,2,8",3.771777,0.000404,0.889848,1.000000|0.889848|0.988437|0.893492
dual,4,4,10,14,fastest,"0,1,2,7",3.796513,0.000395,0.821848,1.000000|0.994615|0.980050|0.821848
