n,m,B,alloc,th_uniform,hw_uniform,th_order,hw_order,gap,loop
4,4,0,"0,0,0,0",3.034922055,0.000223381,3.034989323,0.000152808,-6.726800000000921e-05,40
4,4,1,"0,0,0,1",3.384240376,0.000206467,3.383315213,0.000209588,0.0009251630000002287,40
4,4,2,"0,0,1,1",3.538523083,0.0002342,3.535180226,0.000137034,0.0033428569999998103,40
4,4,3,"0,0,1,2",3.632619749,0.00030205,3.626889173,0.000108772,0.005730575999999932,40
4,4,4,"0,0,1,3",3.677002857,0.000295467,3.669777043,8.6237e-05,0.00722581400000033,40
4,4,5,"0,1,1,3",3.716200326,0.000200277,3.708913459,0.000111486,0.007286866999999919,40
4,4,6,"0,1,1,4",3.740608471,0.000294943,3.732643208,7.2399e-05,0.007965263,40
4,4,7,"0,1,2,4",3.757053584,0.000336687,3.749307444,6.5913e-05,0.007746140000000068,40
4,4,8,"0,1,2,5",3.773275815,0.00032707,3.765232381,0.000167446,0.008043433999999738,40
4,4,9,"0,1,2,6",3.786004762,0.000390957,3.779104637,3.2644e-05,0.006900125000000035,40
4,4,10,"0,1,2,7",3.796513383,0.00039515,3.788428496,0.000200499,0.008084887000000318,40
