k,cfg_forward,cfg_backward,phase3_mean,phase3_m_eff,phase3_eps_i,recheck_mean,recheck_var,recheck_m_eff,rel_gap_to_xS,z_vs_xS,z_vs_xS_scaled,beats_xS,counterexample,eps_c_precise
271,"(0, 0, 0, 1)","(0, 1, 2, 5)",0.9393551535,14039,0.0009918464122,0.93910646,0.0003775613725,250000,0.0002936184345,4.99703,-12.0157,1,0,0.0004303411243
272,"(0, 0, 0, 2)","(0, 1, 2, 4)",0.9387464545,11564,0.0003783692047,0.938871519,0.0003656250483,249998,4.336990482e-05,0.74396,-16.4015,0,0,0.0001789990782
239,"(0, 0, 0, 1)","(0, 1, 1, 6)",0.9387731223,12888,0.0003923360506,0.9388348073,0.0003725716921,249999,4.266338085e-06,0.072847,-16.9934,0,0,0.0001405202373
278,"(0, 0, 1, 1)","(0, 1, 1, 5)",0.9393087235,4998,0.001204298294,0.9387635311,0.0003709793985,249999,-7.165392886e-05,-1.22477,-18.3083,0,0,6.44511244e-05
277,"(0, 0, 1, 0)","(0, 1, 1, 6)",0.9385810973,4994,0.0004463717759,0.9386984268,0.0003772941243,249999,-0.000141000035,-2.40007,-19.412,0,0,0
240,"(0, 0, 0, 2)","(0, 1, 1, 5)",0.9383664733,4999,0.0002005580841,0.9386068786,0.0003640726613,249994,-0.000238513057,-4.09565,-21.2563,0,0,0
273,"(0, 0, 0, 3)","(0, 1, 2, 3)",0.9386274706,10979,0.0002621815154,0.9385185621,0.0003592396644,249999,-0.0003325837784,-5.72957,-22.9452,0,0,0
279,"(0, 0, 1, 2)","(0, 1, 1, 4)",0.9386629326,4999,0.0005160236447,0.9384389115,0.000363313714,249998,-0.0004174239464,-7.1715,-24.3394,0,0,0
292,"(0, 1, 0, 1)","(0, 0, 2, 5)",0.9382822565,4999,0.0001294138632,0.9384299394,0.0003717515906,249998,-0.0004269805904,-7.29458,-24.3663,0,0,0
241,"(0, 0, 0, 3)","(0, 1, 1, 4)",0.9385687344,6416,0.0003345771461,0.9383199053,0.0003587018106,249999,-0.0005441839881,-9.37831,-26.5983,0,0,0
274,"(0, 0, 0, 4)","(0, 1, 2, 2)",0.9380038008,4999,0,0.9382867663,0.0003536168932,249998,-0.0005794821328,-10.021,-27.2999,0,0,0
291,"(0, 1, 0, 0)","(0, 0, 2, 6)",0.9382493496,4997,8.551456648e-05,0.9382292889,0.0003788481136,249999,-0.0006407044285,-10.8948,-27.8851,0,0,0
255,"(0, 1, 0, 1)","(0, 0, 1, 6)",0.9384652792,4997,0.0003120285314,0.9382067608,0.0003694643738,249999,-0.0006647003286,-11.3731,-28.4686,0,0,0
293,"(0, 1, 0, 2)","(0, 0, 2, 4)",0.937984991,4997,0,0.93814678,0.0003608618471,250000,-0.0007285891858,-12.5381,-29.7314,0,0,0
254,"(0, 1, 0, 0)","(0, 0, 1, 7)",0.9377112,5000,0,0.9381407651,0.0003744243624,249998,-0.0007349959567,-12.5346,-29.5735,0,0,0
275,"(0, 0, 0, 5)","(0, 1, 2, 1)",0.9374469576,4996,0,0.9381181369,0.0003525518024,249998,-0.0007590984691,-13.1366,-30.4263,0,0,0
280,"(0, 0, 1, 3)","(0, 1, 1, 3)",0.9380618898,12393,0,0.9380776443,0.0003547292132,249999,-0.0008022293873,-13.8625,-31.1264,0,0,0
242,"(0, 0, 0, 4)","(0, 1, 1, 3)",0.937980196,4999,0,0.9380728923,0.0003516393038,249999,-0.0008072910225,-13.9793,-31.2793,0,0,0
243,"(0, 0, 0, 5)","(0, 1, 1, 2)",0.9378872745,5988,0,0.9380112242,0.0003484593872,249996,-0.0008729770991,-15.1495,-32.4864,0,0,0
244,"(0, 0, 0, 6)","(0, 1, 1, 1)",0.9387445489,4999,0.0005721068167,0.9379545829,0.0003484377576,249994,-0.0009333088111,-16.1967,-33.5332,0,0,0
276,"(0, 0, 0, 6)","(0, 1, 2, 0)",0.9380996515,13487,0,0.9379417598,0.0003507216219,249999,-0.0009469674415,-16.4082,-33.7178,0,0,0
298,"(0, 1, 1, 0)","(0, 0, 1, 6)",0.9377467467,4995,0,0.9379165957,0.0003732654019,249999,-0.0009737711005,-16.6194,-33.6693,0,0,0
256,"(0, 1, 0, 2)","(0, 0, 1, 5)",0.9378785271,4997,0,0.9379104666,0.0003599017539,249996,-0.0009802995388,-16.8805,-34.0827,0,0,0
299,"(0, 1, 1, 1)","(0, 0, 1, 5)",0.9375506202,4998,0,0.937897008,0.0003679891366,250000,-0.0009946349946,-17.035,-34.1444,0,0,0
245,"(0, 0, 0, 7)","(0, 1, 1, 0)",0.9381140228,4999,0,0.9378693435,0.0003493141875,249999,-0.00102410199,-17.7618,-35.0872,0,0,0
281,"(0, 0, 1, 4)","(0, 1, 1, 2)",0.937659996,4997,0,0.9378081592,0.0003487789475,249999,-0.001089272673,-18.899,-36.2302,0,0,0
294,"(0, 1, 0, 3)","(0, 0, 2, 3)",0.9382680536,4999,8.382258341e-05,0.9377661671,0.0003552122521,249999,-0.001134000826,-19.5892,-36.8444,0,0,0
285,"(0, 0, 2, 1)","(0, 1, 0, 5)",0.9377385477,4999,0,0.9377085937,0.0003661545769,249998,-0.001195325397,-20.4972,-37.6257,0,0,0
257,"(0, 1, 0, 3)","(0, 0, 1, 4)",0.9375177177,4995,0,0.9377014096,0.0003490191087,249998,-0.001202977529,-20.8684,-38.1956,0,0,0
284,"(0, 0, 2, 0)","(0, 1, 0, 6)",0.9368676677,4995,0,0.9376676027,0.0003733901416,249996,-0.001238987138,-21.144,-38.1902,0,0,0
283,"(0, 0, 1, 6)","(0, 1, 1, 0)",0.9373289316,4998,0,0.9375975328,0.0003462493364,249998,-0.001313622419,-22.831,-40.19,0,0,0
282,"(0, 0, 1, 5)","(0, 1, 1, 1)",0.9377210682,10110,0,0.9375867063,0.0003498771921,249999,-0.001325154245,-22.9744,-40.2904,0,0,0
